KEY,"Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
IC_STM3274xNx_BGA216,"BGA:BGA216C80P15X15_1300X1300X110","http://www.st.com/web/en/resource/technical/document/datasheet/DM00166116.pdf","STMicroelectronics","STM32F746NGH6","497-15818","http://www.digikey.com/product-detail/en/STM32F746NGH6/497-15818-ND/5287177","_","_"
IC_OV09715_,"OmniVision:OV9715","http://www.ovt.com/download_document.php?type=sensor&sensorid=43","OmniVision","OV09715-V28A-PF","884-1040","http://www.digikey.com/product-detail/en/OV09715-V28A-PF/884-1040-ND/3190552","_","_"
IC_OV09715__,"OmniVision:OV9715","http://www.ovt.com/download_document.php?type=sensor&sensorid=43","OmniVision","OV09715-V28A-PF","884-1040","http://www.digikey.com/product-detail/en/OV09715-V28A-PF/884-1040-ND/3190552","_","_"
IC_IS61WV102416_BGA48,"BGA:BGA48C75P6X8_900X1100X120","http://www.issi.com/WW/pdf/61WV102416ALL.pdf","ISSI","IS61WV102416BLL-10MLI","706-1054","http://www.digikey.com/product-detail/en/IS61WV102416BLL-10MLI/706-1054-ND/1557454","_","_"
IC_LED_WS2812B__,"LED_Adafruit:LED_WS2812B","http://www.adafruit.com/datasheets/WS2812B.pdf","Adafruit","1655","1528-1104","http://www.digikey.com/product-detail/en/1655/1528-1104-ND/5154679","_","_"
IC_ADP5023_24WFQFN,"Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://www.analog.com/media/en/technical-documentation/data-sheets/ADP5023.pdf","Analog Devices","ADP5023ACPZ-R7","ADP5023ACPZ-R7","http://www.digikey.com/product-detail/en/ADP5023ACPZ-R7/ADP5023ACPZ-R7CT-ND/2757841","_","_",
IC_ADP5023_WFQFN24,"Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://www.analog.com/media/en/technical-documentation/data-sheets/ADP5023.pdf","Analog Devices","ADP5023ACPZ-R7","ADP5023ACPZ-R7","http://www.digikey.com/product-detail/en/ADP5023ACPZ-R7/ADP5023ACPZ-R7CT-ND/2757841","_","_",
IC_ADP5023_QFN24,"Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://www.analog.com/media/en/technical-documentation/data-sheets/ADP5023.pdf","Analog Devices","ADP5023ACPZ-R7","ADP5023ACPZ-R7","http://www.digikey.com/product-detail/en/ADP5023ACPZ-R7/ADP5023ACPZ-R7CT-ND/2757841","_","_",
IC_ADP5023_24QFN,"Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://www.analog.com/media/en/technical-documentation/data-sheets/ADP5023.pdf","Analog Devices","ADP5023ACPZ-R7","ADP5023ACPZ-R7","http://www.digikey.com/product-detail/en/ADP5023ACPZ-R7/ADP5023ACPZ-R7CT-ND/2757841","_","_",
IC_USB3300_QFN32,"Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en562663","Microchip","USB3300-EZK-TR","USB3300-EZK","http://www.digikey.com/product-detail/en/USB3300-EZK-TR/USB3300-EZK-CT-ND/4915450","_","_",
IC_USB3300_32QFN,"Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en562663","Microchip","USB3300-EZK-TR","USB3300-EZK","http://www.digikey.com/product-detail/en/USB3300-EZK-TR/USB3300-EZK-CT-ND/4915450","_","_",
IC_KSZ8081RNX_24QFN,"Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://www.micrel.com/_PDF/Ethernet/datasheets/KSZ8081RNA-RND.pdf","Micrel","KSZ8081RNDCA TR","576-4177","http://www.digikey.com/product-detail/en/KSZ8081RNDCA%20TR/576-4177-1-ND/3728308","_","_",
IC_KSZ8081RNX_QFN24,"Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://www.micrel.com/_PDF/Ethernet/datasheets/KSZ8081RNA-RND.pdf","Micrel","KSZ8081RNDCA TR","576-4177","http://www.digikey.com/product-detail/en/KSZ8081RNDCA%20TR/576-4177-1-ND/3728308","_","_",
IC_OSCILLATOR_50MHz__,"Oscillator:ASFL1","http://www.abracon.com/Oscillators/ASFL1.pdf","Abracon","ASFL1-50.000MHZ-EC-T","300-8264","http://www.digikey.com/product-detail/en/ASFL1-50.000MHZ-EC-T/300-8264-1-ND/687957","_","_",
IC_XTAL__,"Oscillator:ABM8G","http://www.abracon.com/Resonators/ABM8G.pdf","Abracon","ABM8G-24.000MHZ-18-D2Y-T","535-10273","http://www.digikey.com/product-detail/en/ABM8G-24.000MHZ-18-D2Y-T/535-10273-1-ND/2218086","_","_",
IC_LTM4623_LGA25,"BGA:BGA25C127P5X5_625X625X242","http://cds.linear.com/docs/en/datasheet/4623fa.pdf","Linear","LTM4623EV","LTM4623EV","http://www.digikey.com/product-detail/en/LTM4623EV%23PBF/LTM4623EV%23PBF-ND/5080540","_","_"
IC_LTM4623_BGA25,"BGA:BGA25C127P5X5_625X625X242","http://cds.linear.com/docs/en/datasheet/4623fa.pdf","Linear","LTM4623EV","LTM4623EV","http://www.digikey.com/product-detail/en/LTM4623EV%23PBF/LTM4623EV%23PBF-ND/5080540","_","_"
