Bank Number,Pin Name/Function,Optional Function(s),Configuration Function,Non-dedicated Tx/Rx Channel,Dedicated Tx/Rx Channel,Soft CDR Support,F672
1D,REFCLK_GXBL1D_CHTp,,,,,,L22
1D,REFCLK_GXBL1D_CHTn,,,,,,L21
1D,GXBL1D_TX_CH3n,,,,,,G25
1D,GXBL1D_TX_CH3p,,,,,,G26
1D,"GXBL1D_RX_CH3n,GXBL1D_REFCLK3n",,,,,,F23
1D,"GXBL1D_RX_CH3p,GXBL1D_REFCLK3p",,,,,,F24
1D,GXBL1D_TX_CH2n,,,,,,J25
1D,GXBL1D_TX_CH2p,,,,,,J26
1D,"GXBL1D_RX_CH2n,GXBL1D_REFCLK2n",,,,,,H23
1D,"GXBL1D_RX_CH2p,GXBL1D_REFCLK2p",,,,,,H24
1D,GXBL1D_TX_CH1n,,,,,,L25
1D,GXBL1D_TX_CH1p,,,,,,L26
1D,"GXBL1D_RX_CH1n,GXBL1D_REFCLK1n",,,,,,K23
1D,"GXBL1D_RX_CH1p,GXBL1D_REFCLK1p",,,,,,K24
1D,GXBL1D_TX_CH0n,,,,,,N25
1D,GXBL1D_TX_CH0p,,,,,,N26
1D,"GXBL1D_RX_CH0n,GXBL1D_REFCLK0n",,,,,,M23
1D,"GXBL1D_RX_CH0p,GXBL1D_REFCLK0p",,,,,,M24
1D,REFCLK_GXBL1D_CHBp,,,,,,N22
1D,REFCLK_GXBL1D_CHBn,,,,,,N21
1C,REFCLK_GXBL1C_CHTp,,,,,,R22
1C,REFCLK_GXBL1C_CHTn,,,,,,R21
1C,GXBL1C_TX_CH5n,,,,,,R25
1C,GXBL1C_TX_CH5p,,,,,,R26
1C,"GXBL1C_RX_CH5n,GXBL1C_REFCLK5n",,,,,,P23
1C,"GXBL1C_RX_CH5p,GXBL1C_REFCLK5p",,,,,,P24
1C,GXBL1C_TX_CH4n,,,,,,U25
1C,GXBL1C_TX_CH4p,,,,,,U26
1C,"GXBL1C_RX_CH4n,GXBL1C_REFCLK4n",,,,,,T23
