Bank Number,VREF,Pin Name/Function,Optional Function(s),Configuration Function,Dedicated Tx/Rx Channel,Emulated LVDS Output Channel,U484
GXB_L1,,REFCLK1Ln,,,,,G4
GXB_L1,,REFCLK1Lp,,,,,F5
GXB_L1,,GXB_TX_L5n,,,,,D3
GXB_L1,,GXB_TX_L5p,,,,,D4
GXB_L1,,"GXB_RX_L5p,GXB_REFCLK_L5p",,,,,C2
GXB_L1,,"GXB_RX_L5n,GXB_REFCLK_L5n",,,,,C1
GXB_L1,,GXB_TX_L4n,,,,,E1
GXB_L1,,GXB_TX_L4p,,,,,E2
GXB_L1,,"GXB_RX_L4p,GXB_REFCLK_L4p",,,,,G2
GXB_L1,,"GXB_RX_L4n,GXB_REFCLK_L4n",,,,,G1
GXB_L1,,GXB_TX_L3n,,,,,J1
GXB_L1,,GXB_TX_L3p,,,,,J2
GXB_L1,,"GXB_RX_L3p,GXB_REFCLK_L3p",,,,,L2
GXB_L1,,"GXB_RX_L3n,GXB_REFCLK_L3n",,,,,L1
GXB_L0,,GXB_TX_L2n,,,,,N1
GXB_L0,,GXB_TX_L2p,,,,,N2
GXB_L0,,"GXB_RX_L2p,GXB_REFCLK_L2p",,,,,R2
GXB_L0,,"GXB_RX_L2n,GXB_REFCLK_L2n",,,,,R1
GXB_L0,,GXB_TX_L1n,,,,,U1
GXB_L0,,GXB_TX_L1p,,,,,U2
GXB_L0,,"GXB_RX_L1p,GXB_REFCLK_L1p",,,,,W2
GXB_L0,,"GXB_RX_L1n,GXB_REFCLK_L1n",,,,,W1
GXB_L0,,GXB_TX_L0n,,,,,Y3
GXB_L0,,GXB_TX_L0p,,,,,Y4
GXB_L0,,"GXB_RX_L0p,GXB_REFCLK_L0p",,,,,AA2
GXB_L0,,"GXB_RX_L0n,GXB_REFCLK_L0n",,,,,AA1
GXB_L0,,REFCLK0Lp,,,,,V4
GXB_L0,,REFCLK0Ln,,,,,U4
3A,,TDO,,TDO,,,V3
3A,,nCSO,,DATA4,,,AB6
3A,,TMS,,TMS,,,R4
3A,,AS_DATA3,,DATA3,,,AA5
3A,,TCK,,TCK,,,V5
3A,,AS_DATA2,,DATA2,,,T5
3A,,TDI,,TDI,,,P5
3A,,AS_DATA1,,DATA1,,,W5
3A,,DCLK,,DCLK,,,M5
3A,,"AS_DATA0,ASDO",,DATA0,,,AB4
3A,VREFB3AN0,IO,,DATA6,DIFFIO_RX_B1n,DIFFOUT_B1n,P6
3A,VREFB3AN0,IO,,DATA5,DIFFIO_TX_B2n,DIFFOUT_B2n,U7
3A,VREFB3AN0,IO,,DATA8,DIFFIO_RX_B1p,DIFFOUT_B1p,N6
3A,VREFB3AN0,IO,,DATA7,DIFFIO_TX_B2p,DIFFOUT_B2p,U6
3A,VREFB3AN0,IO,,DATA10,DIFFIO_RX_B3n,DIFFOUT_B3n,M6
3A,VREFB3AN0,IO,,DATA9,DIFFIO_TX_B4n,DIFFOUT_B4n,R5
3A,VREFB3AN0,IO,,DATA12,DIFFIO_RX_B3p,DIFFOUT_B3p,M7
3A,VREFB3AN0,IO,,DATA11,DIFFIO_TX_B4p,DIFFOUT_B4p,R6
3A,VREFB3AN0,IO,,DATA14,DIFFIO_RX_B5n,DIFFOUT_B5n,R7
3A,VREFB3AN0,IO,,DATA13,DIFFIO_TX_B6n,DIFFOUT_B6n,L7
3A,VREFB3AN0,IO,,CLKUSR,DIFFIO_RX_B5p,DIFFOUT_B5p,T7
3A,VREFB3AN0,IO,,DATA15,DIFFIO_TX_B6p,DIFFOUT_B6p,L8
3A,VREFB3AN0,IO,,PR_DONE,DIFFIO_RX_B7n,DIFFOUT_B7n,T8
3A,VREFB3AN0,IO,,PR_READY,DIFFIO_TX_B8n,DIFFOUT_B8n,P7
3A,VREFB3AN0,IO,,PR_ERROR,DIFFIO_RX_B7p,DIFFOUT_B7p,T9
3A,VREFB3AN0,IO,,,DIFFIO_TX_B8p,DIFFOUT_B8p,P8
3B,VREFB3BN0,IO,,,DIFFIO_TX_B9n,DIFFOUT_B9n,V8
3B,VREFB3BN0,IO,,,DIFFIO_RX_B10n,DIFFOUT_B10n,N8
3B,VREFB3BN0,IO,,,DIFFIO_TX_B9p,DIFFOUT_B9p,W8
3B,VREFB3BN0,IO,,,DIFFIO_RX_B10p,DIFFOUT_B10p,M8
3B,VREFB3BN0,IO,,,DIFFIO_RX_B11n,DIFFOUT_B11n,N9
3B,VREFB3BN0,IO,,,DIFFIO_TX_B12n,DIFFOUT_B12n,AA7
3B,VREFB3BN0,IO,,,DIFFIO_RX_B11p,DIFFOUT_B11p,N10
3B,VREFB3BN0,IO,,,DIFFIO_TX_B12p,DIFFOUT_B12p,AB7
3B,VREFB3BN0,IO,,,DIFFIO_TX_B13n,DIFFOUT_B13n,Y7
3B,VREFB3BN0,IO,,,DIFFIO_RX_B14n,DIFFOUT_B14n,U8
3B,VREFB3BN0,IO,,,DIFFIO_TX_B13p,DIFFOUT_B13p,W7
3B,VREFB3BN0,IO,,,DIFFIO_RX_B14p,DIFFOUT_B14p,V9
3B,VREFB3BN0,IO,"CLK0n,FPLL_BL_FBn",,DIFFIO_RX_B15n,DIFFOUT_B15n,R9
3B,VREFB3BN0,IO,,,DIFFIO_TX_B16n,DIFFOUT_B16n,AB8
3B,VREFB3BN0,IO,"CLK0p,FPLL_BL_FBp",,DIFFIO_RX_B15p,DIFFOUT_B15p,P9
3B,VREFB3BN0,IO,,,DIFFIO_TX_B16p,DIFFOUT_B16p,AA8
3B,VREFB3BN0,IO,,,DIFFIO_TX_B17n,DIFFOUT_B17n,Y10
3B,VREFB3BN0,IO,,,DIFFIO_RX_B18n,DIFFOUT_B18n,AA9
3B,VREFB3BN0,IO,,,DIFFIO_TX_B17p,DIFFOUT_B17p,AA10
3B,VREFB3BN0,IO,,,DIFFIO_RX_B18p,DIFFOUT_B18p,Y9
3B,VREFB3BN0,IO,,,DIFFIO_RX_B19n,DIFFOUT_B19n,L9
3B,VREFB3BN0,IO,,,DIFFIO_TX_B20n,DIFFOUT_B20n,W11
3B,VREFB3BN0,IO,,,DIFFIO_RX_B19p,DIFFOUT_B19p,M10
